Graph1;Graph2;Cout;Temps(ms)
AP1_0000;AP1_0144;4.0;3.0
AP1_0000;AP1_0145;3.0;2.0
AP1_0000;AP1_0146;3.0;1.0
AP1_0000;AP1_0147;3.0;1.0
AP1_0000;AP1_0148;3.0;2.0
AP1_0000;AP1_0149;3.0;2.0
AP1_0000;EP1_0000;3.0;3.0
AP1_0000;EP1_0001;3.0;3.0
AP1_0000;EP1_0002;3.0;2.0
AP1_0000;EP1_0003;3.0;3.0
AP1_0000;EP1_0004;3.0;2.0
AP1_0000;EP1_0005;3.0;1.0
AP1_0000;EP1_0006;3.0;2.0
AP1_0000;EP1_0007;3.0;3.0
AP1_0000;EP1_0008;3.0;3.0
AP1_0000;EP1_0009;3.0;2.0
AP1_0000;EP1_0010;3.0;4.0
AP1_0000;EP1_0011;3.0;2.0
AP1_0000;EP1_0012;3.0;2.0
AP1_0000;EP1_0013;4.0;3.0
AP1_0000;EP1_0014;4.0;4.0
AP1_0000;EP1_0015;3.0;2.0
AP1_0000;EP1_0016;3.0;3.0
AP1_0000;EP1_0017;4.0;5.0
AP1_0000;EP1_0018;3.0;2.0
AP1_0000;EP1_0019;4.0;4.0
AP1_0000;EP1_0020;3.0;2.0
AP1_0000;EP1_0021;3.0;4.0
AP1_0000;EP1_0022;4.0;5.0
AP1_0000;EP1_0023;4.0;4.0
AP1_0000;EP1_0024;3.0;2.0
AP1_0000;EP1_0025;4.0;11.0
AP1_0000;EP1_0026;3.0;2.0
AP1_0000;EP1_0027;3.0;3.0
AP1_0000;EP1_0028;3.0;2.0
AP1_0000;EP1_0029;3.0;2.0
AP1_0000;EP1_0030;3.0;2.0
AP1_0000;EP1_0031;4.0;4.0
AP1_0000;EP1_0032;3.0;2.0
AP1_0000;EP1_0033;3.0;2.0
AP1_0000;EP1_0034;4.0;3.0
AP1_0000;EP1_0035;3.0;2.0
AP1_0000;EP1_0036;3.0;2.0
AP1_0000;EP1_0037;3.0;1.0
AP1_0000;EP1_0038;3.0;1.0
AP1_0000;EP1_0039;3.0;2.0
AP1_0000;EP1_0040;3.0;1.0
AP1_0000;EP1_0041;4.0;4.0
AP1_0000;EP1_0042;3.0;1.0
AP1_0000;EP1_0043;3.0;1.0
AP1_0000;EP1_0044;3.0;1.0
AP1_0000;EP1_0045;3.0;1.0
AP1_0000;EP1_0046;3.0;1.0
AP1_0000;EP1_0047;4.0;2.0
AP1_0000;EP1_0048;3.0;1.0
AP1_0000;EP1_0049;3.0;3.0
AP1_0000;EP1_0050;3.0;2.0
AP1_0000;EP1_0051;3.0;1.0
AP1_0000;EP1_0052;3.0;2.0
AP1_0000;EP1_0053;3.0;2.0
AP1_0000;EP1_0054;3.0;1.0
AP1_0000;EP1_0055;3.0;2.0
AP1_0000;EP1_0056;3.0;2.0
AP1_0000;EP1_0057;3.0;3.0
AP1_0000;EP1_0058;3.0;2.0
AP1_0000;EP1_0059;3.0;1.0
AP1_0000;EP1_0060;3.0;2.0
AP1_0000;EP1_0061;4.0;5.0
AP1_0000;EP1_0062;3.0;2.0
AP1_0000;EP1_0063;3.0;1.0
AP1_0000;EP1_0064;3.0;2.0
AP1_0000;EP1_0065;3.0;2.0
AP1_0000;EP1_0066;3.0;1.0
AP1_0000;EP1_0067;3.0;2.0
AP1_0000;EP1_0068;4.0;5.0
AP1_0000;EP1_0069;3.0;1.0
AP1_0000;EP1_0070;3.0;4.0
AP1_0000;EP1_0071;3.0;1.0
AP1_0000;EP1_0072;4.0;5.0
AP1_0000;EP1_0073;4.0;3.0
AP1_0000;EP1_0074;4.0;6.0
AP1_0000;EP1_0075;3.0;3.0
AP1_0000;EP1_0076;3.0;5.0
AP1_0000;EP1_0077;4.0;4.0
AP1_0000;EP1_0078;3.0;2.0
AP1_0000;EP1_0079;4.0;5.0
AP1_0000;EP1_0080;3.0;3.0
AP1_0000;EP1_0081;3.0;3.0
AP1_0000;EP1_0082;3.0;2.0
AP1_0000;EP1_0083;3.0;2.0
AP1_0000;EP1_0084;3.0;3.0
AP1_0000;EP1_0085;3.0;2.0
AP1_0000;EP1_0086;4.0;4.0
AP1_0000;EP1_0087;3.0;4.0
AP1_0000;EP1_0088;3.0;3.0
AP1_0000;EP1_0089;3.0;7.0
AP1_0000;EP1_0090;3.0;2.0
AP1_0000;EP1_0091;3.0;1.0
AP1_0000;EP1_0092;3.0;2.0
AP1_0000;EP1_0093;3.0;4.0
AP1_0000;EP1_0094;3.0;2.0
AP1_0000;EP1_0095;3.0;1.0
AP1_0000;EP1_0096;3.0;2.0
AP1_0000;EP1_0097;3.0;3.0
AP1_0000;EP1_0098;4.0;3.0
AP1_0000;EP1_0099;3.0;2.0
AP1_0000;EP1_0100;4.0;4.0
AP1_0000;EP1_0101;4.0;4.0
AP1_0000;EP1_0102;3.0;1.0
AP1_0000;EP1_0103;3.0;1.0
AP1_0000;EP1_0104;3.0;2.0
AP1_0000;EP1_0105;3.0;2.0
AP1_0000;EP1_0106;3.0;2.0
AP1_0000;EP1_0107;3.0;1.0
AP1_0000;EP1_0108;3.0;1.0
AP1_0000;EP1_0109;3.0;2.0
AP1_0000;EP1_0110;3.0;3.0
AP1_0000;EP1_0111;3.0;2.0
AP1_0000;EP1_0112;3.0;2.0
AP1_0000;EP1_0113;3.0;2.0
AP1_0000;EP1_0114;3.0;2.0
AP1_0000;EP1_0115;3.0;2.0
AP1_0000;EP1_0116;4.0;6.0
AP1_0000;EP1_0117;3.0;2.0
AP1_0000;EP1_0118;4.0;4.0
AP1_0000;EP1_0119;3.0;1.0
AP1_0000;EP1_0120;3.0;2.0
AP1_0000;EP1_0121;3.0;3.0
AP1_0000;EP1_0122;3.0;2.0
AP1_0000;EP1_0123;3.0;2.0
AP1_0000;EP1_0124;3.0;3.0
AP1_0000;EP1_0125;3.0;2.0
AP1_0000;EP1_0126;3.0;2.0
AP1_0000;EP1_0127;5.0;6.0
AP1_0000;EP1_0128;3.0;2.0
AP1_0000;EP1_0129;3.0;1.0
AP1_0000;EP1_0130;3.0;2.0
AP1_0000;EP1_0131;3.0;2.0
AP1_0000;EP1_0132;4.0;3.0
