X;GED;Multi-Scale
2127;0;15
2128;0;10
2129;1;13
2130;1;15
2131;1;12
2132;0;31
2133;1;15
2134;0;15
2135;1;22
2136;0;12
2137;1;14
2138;0;14
2139;1;15
2140;21;12
2141;1;12
2142;1;11
2143;1;16
2144;0;17
2145;1;13
2146;0;13
2147;1;16
2148;1;12
2149;0;23
2150;22;17
2151;0;14
2152;1;12
2153;0;14
2154;0;16
2155;1;14
2156;0;14
2157;1;16
2158;1;15
2159;1;36
2160;1;24
2161;1;25
2162;0;12
2163;1;12
2164;1;15
2165;0;14
2166;0;15
2167;1;17
2168;1;15
2169;0;13
2170;1;14
2171;1;17
2172;1;16
2173;0;13
2174;0;24
2175;1;14
2176;0;14
2177;1;14
2178;1;19
2179;0;15
2180;1;15
2181;0;15
2182;1;12
2183;1;15
2184;0;15
2185;1;13
2186;0;14
2187;1;23
2188;1;12
2189;0;27
2190;1;16
2191;0;14
2192;0;14
2193;1;14
2194;0;15
2195;1;15
2196;1;15
2197;0;17
2198;1;16
2199;0;15
2200;0;16
2201;1;15
2202;1;23
2203;1;36
2204;1;13
2205;0;14
2206;1;15
2207;0;16
2208;0;23
2209;1;24
2210;1;15
2211;1;13
2212;0;24
2213;1;23
2214;0;23
2215;0;16
2216;1;12
2217;1;14
2218;1;15
2219;0;15
2220;1;34
2221;1;15
2222;0;28
2223;1;20
2224;1;13
2225;0;17
2226;0;22
2227;0;17
2228;0;18
2229;1;35
2230;0;34
2231;0;18
2232;1;14
2233;0;14
2234;1;13
2235;1;15
2236;1;19
2237;0;16
2238;0;15
2239;1;14
2240;1;39
2241;0;32
2242;1;15
2243;0;15
2244;0;13
2245;1;15
2246;1;12
2247;0;25
2248;1;26
2249;1;13
2250;17;1
2251;3;1
2252;3;0
2253;18;0
2254;3;1
2255;880;0
2256;18;1
2257;3;0
2258;3;1
2259;2;1
2260;3;0
2261;1;1
2262;3;0
2263;3;1
2264;17;1
2265;2;1
2266;2;1
2267;3;0
2268;888;1
2269;17;1
2270;3;1
2271;18;1
2272;3;1
2273;17;1
2274;17;0
2275;3;1
2276;845;2
2277;3;1
2278;3;1
2279;3;0
2280;17;1
2281;912;1
2282;3;1
2283;3;1
2284;18;1
2285;860;1
2286;2;1
2287;2;0
2288;18;1
2289;3;1
2290;17;1
2291;18;1
2292;18;1
2293;3;1
2294;2;1
2295;19;1
2296;3;1
2297;18;1
2298;3;1
2299;3;1
2300;2;1
2301;3;1
2302;3;1
2303;3;0
2304;2;1
2305;2;1
2306;3;1
2307;17;1
2308;2;1
2309;3;1
2310;3;1
2311;3;1
2312;3;1
2313;17;1
2314;3;1
2315;3;1
2316;1;0
2317;3;2
2318;3;1
2319;3;1
2320;2;1
2321;3;1
2322;3;1
2323;17;1
2324;4;2
2325;3;1
2326;3;1
2327;18;1
2328;18;2
2329;2;1
2330;3;1
2331;3;1
2332;3;1
2333;3;1
2334;17;1
2335;3;1
2336;17;2
2337;18;1
2338;3;2
2339;3;1
2340;18;2
2341;1;1
2342;17;1
2343;3;1
2344;17;2
2345;16;2
2346;3;1
2347;3;1
2348;2;1
2349;3;1
2350;3;2
2351;3;1
2352;2;1
2353;3;1
2354;3;2
2355;17;2
2356;3;1
2357;3;1
2358;18;2
2359;2;2
2360;3;3
2361;3;2
2362;4;1
2363;2;2
2364;17;1
2365;2;2
2366;4;2
2367;2;2
2368;17;2
2369;17;2
2370;3;1
2371;3;2
2372;3;1
2373;3;2
2374;16;2
2375;2;2
2376;17;1
2377;3;1
2378;3;2
2379;18;2
2380;3;1
2381;884;2
2382;3;1
2383;3;2
2384;3;1
2385;18;1
2386;2;2
2387;4;1
2388;3;2
2389;3;1
2390;17;2
2391;2;2
2392;3;2
2393;17;2
2394;17;2
2395;3;1
2396;2;2
2397;3;2
2398;17;1
2399;17;2
2400;18;2
2401;898;2
2402;17;2
2403;853;19
2404;924;2
2405;17;2
2406;897;20
2407;901;2
2408;893;1
2409;871;19
2410;3;2
2411;17;2
2412;17;2
2413;18;3
2414;894;4
2415;864;2
2416;35597;3
2417;953;19
2418;896;2
2419;17;2
2420;912;2
2421;915;2
2422;19;3
2423;35351;3
2424;18;1
2425;18;2
2426;1007;20
2427;18;2
2428;18;5
2429;989;2
2430;978;2
2431;18;3
2432;929;5
2433;854;3
2434;17;2
2435;17;1
2436;887;2
2437;18;2
2438;18;2
2439;18;2
2440;34138;4
2441;72;2
2442;18;2
2443;18;1
2444;18;2
2445;17;1
2446;33709;3
2447;18;4
2448;914;2
2449;34805;19
2450;17;2
2451;53;2
2452;19;3
2453;19;2
2454;937;19
2455;18;4
2456;19;1
2457;17;2
2458;3;2
2459;866;19
2460;858;3
2461;18;2
2462;3;1
2463;894;20
2464;890;2
2465;20;2
2466;886;3
2467;898;2
2468;17;2
2469;18;2
2470;19;3
2471;18;3
2472;3;3
2473;939;3
2474;18;3
2475;18;2
2476;3;4
2477;18;4
2478;861;4
2479;912;2
2480;913;3
2481;883;3
2482;19;3
2483;910;3
2484;867;20
2485;856;3
2486;909;3
2487;892;2
2488;19;3
2489;18;2
2490;17;2
2491;17;2
2492;917;2
2493;18;3
2494;18;2
2495;874;3
2496;17;2
2497;17;4
2498;879;2
2499;920;3
2500;17;3
2501;17;2
2502;20;2
2503;18;3
2504;919;4
2505;17;2
2506;18;3
2507;874;3
2508;17;2
2509;17;3
2510;18;3
2511;871;3
2512;17;2
2513;18;3
2514;18;4
2515;17;4
2516;885;3
2517;880;3
2518;19;3
2519;17;4
2520;18;3
2521;861;20
2522;920;3
2523;896;4
2524;883;3
2525;18;2
2526;895;2
2527;18;3
2528;17;2
2529;19;3
2530;17;2
2531;874;3
2532;17;3
2533;18;2
2534;17;4
2535;18;5
2536;909;3
2537;17;4
2538;872;2
2539;18;3
2540;17;3
2541;35601;4
2542;18;2
2543;494622;4
2544;962;6
2545;18;3
2546;37;2
2547;19;4
2548;924;4
2549;894;2
2550;18;3
2551;17;4
2552;2;4
2553;3;3
2554;18;3
2555;16;5
2556;2;3
2557;840;4
2558;870;4
2559;4;2
2560;3;3
2561;2;3
2562;3;2
2563;3;3
2564;17;3
2565;2;2
2566;3;4
2567;840;4
2568;4;2
2569;3;3
2570;17;3
2571;17;2
2572;2;3
2573;3;2
2574;3;3
2575;3;3
2576;16;5
2577;3;2
2578;3;3
2579;2;2
2580;2;4
2581;3;4
2582;17;2
2583;18;4
2584;3;2
2585;3;3
2586;2;4
2587;2;4
2588;879;3
2589;3;3
2590;2;2
2591;18;3
2592;3;3
2593;2;2
2594;3;3
2595;3;3
2596;870;5
2597;3;2
2598;3;4
2599;2;2
2600;3;3
2601;880;4
2602;3;3
2603;3;3
2604;3;3
2605;2;3
2606;3;3
2607;3;4
2608;3;3
2609;3;4
2610;3;4
2611;17;5
2612;2;5
2613;18;3
2614;3;2
2615;18;3
2616;887;5
2617;3;3
2618;3;4
2619;3;3
2620;870;5
2621;846;4
2622;17;4
2623;17;5
2624;870;4
2625;17;4
2626;3;5
2627;2;5
2628;2;2
2629;1;3
2630;18;4
2631;18;4
2632;3;4
2633;2;3
2634;2;3
2635;2;5
2636;18;3
2637;17;3
2638;3;3
2639;3;5
2640;3;3
2641;858;3
2642;3;3
2643;18;3
2644;2;5
2645;2;3
2646;3;3
2647;3;4
2648;3;4
2649;3;3
2650;3;3
2651;17;4
2652;18;4
2653;4;4
2654;3;3
2655;3;3
2656;3;4
2657;2;5
2658;2;3
2659;18;6
2660;3;4
2661;1;4
2662;3;4
2663;3;3
2664;17;7
2665;3;4
2666;19;4
2667;874;3
2668;3;4
2669;17;3
2670;3;4
2671;868;5
2672;3;4
2673;3;3
2674;17;3
2675;3;3
2676;2;5
2677;2;4
2678;3;3
2679;18;6
2680;17;5
2681;17;4
2682;18;5
2683;3;5
2684;1;3
2685;3;4
2686;3;3
2687;3;3
2688;18;4
2689;16;6
2690;2;4
2691;2;5
2692;3;4
2693;17;4
2694;3;4
2695;19;6
2696;18;5
2697;3;3
2698;3;6
2699;872;6
2700;901;4
2701;20;7
2702;893;6
2703;17;3
2704;20;7
2705;19;5
2706;17;4
2707;18;5
2708;18;4
2709;858;5
2710;17;6
2711;18;5
2712;17;4
2713;884;7
2714;17;5
2715;878;5
2716;18;5
2717;17;4
2718;18;4
2719;33873;7
2720;894;6
2721;871;3
2722;17;5
2723;18;5
2724;17;6
2725;858;6
2726;33676;7
2727;19;4
2728;19;4
2729;35480;7
2730;18;7
2731;929;4
2732;17;5
2733;17;6
2734;17;7
2735;18;3
2736;919;6
2737;18;3
2738;18;6
2739;19;5
2740;885;6
2741;898;4
2742;861;7
2743;844;6
2744;855;9
2745;17;6
2746;914;4
2747;884;7
2748;17;7
2749;908;6
2750;18;4
2751;899;4
2752;19;4
2753;34386;8
2754;18;4
2755;18;8
2756;2;5
2757;911;4
2758;17;4
2759;17;4
2760;17;5
2761;881;21
2762;889;4
2763;909;3
2764;19;6
2765;34980;9
2766;18;4
2767;16;10
2768;16;5
2769;18;6
2770;17;5
2771;17;4
2772;18;4
2773;929;4
2774;18;7
2775;883;6
2776;862;5
2777;18;4
2778;3;5
2779;17;6
2780;853;7
2781;16;10
2782;17;4
2783;886;6
2784;873;8
2785;18;5
2786;19;6
2787;854;4
2788;17;8
2789;19;5
2790;17;7
2791;868;6
2792;864;9
2793;35243;9
2794;17;5
2795;17;3
2796;18;5
2797;17;4
2798;18;4
2799;911;6
2800;16;4
2801;18;7
2802;18;7
2803;898;4
2804;17;6
2805;883;7
2806;875;9
2807;830;7
2808;17;4
2809;17;5
2810;18;8
2811;17;7
2812;17;8
2813;33949;11
2814;72;4
2815;885;8
2816;2;8
2817;19;4
2818;484112;12
2819;1063;7
2820;3;4
2821;887;7
2822;885;11
2823;862;7
2824;18;6
2825;845;6
2826;838;10
2827;17;5
2828;18;4
2829;16;7
2830;3;6
2831;18;9
2832;832;7
2833;16;6
2834;17;7
2835;16;7
2836;17;8
2837;18;5
2838;895;5
2839;888;6
2840;848;8
2841;18;5
2842;861;7
2843;860;10
2844;903;5
2845;18;4
2846;33084;5
2847;919;7
2848;17;6
2849;0;4
2850;0;1
2851;0;1
2852;1;4
2853;0;5
2854;0;5
2855;0;4
2856;0;4
2857;0;4
2858;0;4
2859;1;0
2860;0;4
2861;0;4
2862;0;5
2863;0;4
2864;0;4
2865;0;5
2866;0;4
2867;0;5
2868;0;5
2869;0;4
2870;0;4
2871;0;4
2872;1;4
2873;0;4
2874;0;6
2875;0;4
2876;1;4
2877;0;5
2878;0;3
2879;0;4
2880;1;5
2881;0;4
2882;0;4
2883;0;4
2884;1;4
2885;0;4
2886;0;5
2887;0;4
2888;0;4
2889;1;5
2890;0;4
2891;0;4
2892;0;6
2893;0;4
2894;0;4
2895;0;4
2896;0;5
2897;0;4
2898;0;1
2899;0;5
2900;0;4
2901;0;6
2902;0;4
2903;0;4
2904;0;4
2905;0;5
2906;1;4
2907;0;4
2908;0;5
2909;0;4
2910;0;5
2911;0;4
2912;1;5
2913;0;4
2914;0;5
2915;0;4
2916;0;5
2917;0;4
2918;1;5
2919;0;5
2920;0;4
2921;0;5
2922;0;6
2923;0;4
2924;0;4
2925;0;4
2926;0;4
2927;0;5
2928;1;4
2929;0;5
2930;0;4
2931;0;4
2932;1;5
2933;0;5
2934;0;4
2935;0;5
2936;0;4
2937;0;5
2938;0;4
2939;0;5
2940;1;5
2941;0;5
2942;0;4
2943;0;2
2944;1;5
2945;0;4
2946;0;4
2947;0;4
2948;0;4
2949;0;1
2950;1;6
2951;0;4
2952;0;7
2953;1;4
2954;0;5
2955;0;2
2956;0;5
2957;0;1
2958;1;4
2959;0;5
2960;1;5
2961;0;5
2962;0;5
2963;0;4
2964;1;5
2965;0;5
2966;0;5
2967;1;5
2968;0;4
2969;0;5
2970;0;4
2971;0;5
2972;1;5
2973;0;5
2974;0;5
2975;0;4
2976;1;4
2977;0;5
2978;0;6
2979;0;5
2980;1;5
2981;0;4
2982;0;5
2983;0;4
2984;0;5
2985;0;4
2986;1;4
2987;0;5
2988;0;5
2989;0;5
2990;0;6
2991;0;5
2992;1;6
2993;0;5
2994;0;4
2995;0;4
2996;0;5
2997;1;6
2998;0;5
2999;872;8
3000;3;10
3001;2;10
3002;3;9
3003;3;9
3004;17;10
3005;860;10
3006;2;7
3007;16;8
3008;858;6
3009;20;8
3010;3;7
3011;2;6
3012;18;6
3013;3;5
3014;3;7
3015;3;8
3016;20;6
3017;3;7
3018;3;7
3019;18;6
3020;2;10
3021;3;6
3022;869;8
3023;2;9
3024;17;10
3025;3;5
3026;17;10
3027;875;5
3028;3;8
3029;2;6
3030;2;12
3031;17;9
3032;17;6
3033;2;10
3034;18;8
3035;18;13
3036;16;11
3037;3;5
3038;3;6
3039;3;6
3040;3;6
3041;2;10
3042;19;6
3043;2;14
3044;3;8
3045;3;9
3046;3;9
3047;2;7
3048;18;6
3049;3;7
3050;17;9
3051;3;10
3052;867;9
3053;3;7
3054;3;6
3055;3;6
3056;17;12
3057;3;5
3058;3;7
3059;16;12
3060;3;8
3061;19;12
3062;3;8
3063;3;6
3064;2;5
3065;2;6
3066;3;8
3067;3;6
3068;17;7
3069;2;6
3070;3;5
3071;3;6
3072;3;6
3073;3;6
3074;3;5
3075;2;5
3076;3;6
3077;3;8
3078;3;6
3079;16;12
3080;2;6
3081;3;8
3082;3;11
3083;2;7
3084;21;7
3085;1;7
3086;870;9
3087;3;8
3088;17;7
3089;3;6
3090;20;10
3091;17;12
3092;2;6
3093;2;11
3094;17;8
3095;3;6
3096;18;13
3097;3;8
3098;2;9
3099;18;10
3100;18;11
3101;3;8
3102;3;6
3103;17;10
3104;18;12
3105;3;6
3106;1;10
3107;898;6
3108;17;10
3109;3;6
3110;3;5
3111;18;8
3112;18;9
3113;2;7
3114;3;8
3115;3;6
3116;5;7
3117;2;10
3118;3;9
3119;3;6
3120;3;8
3121;2;6
3122;2;8
3123;3;6
3124;3;8
3125;2;7
3126;18;7
3127;18;9
3128;3;6
3129;3;6
3130;2;8
3131;3;10
3132;3;6
3133;3;9
3134;3;7
3135;3;9
3136;17;10
3137;2;11
3138;3;11
3139;3;7
3140;3;9
3141;2;9
3142;1;8
3143;3;6
3144;3;11
3145;3;12
3146;4;8
3147;19;11
3148;3;6
3149;0;7
3150;1;6
3151;0;7
3152;1;7
3153;0;7
3154;2;8
3155;0;7
3156;1;6
3157;0;7
3158;1;8
3159;0;6
3160;1;7
3161;1;8
3162;1;8
3163;1;7
3164;0;9
3165;1;7
3166;1;7
3167;1;4
3168;0;4
3169;2;8
3170;0;4
3171;1;8
3172;1;7
3173;0;7
3174;0;8
3175;1;7
3176;0;7
3177;1;8
3178;0;7
3179;1;7
3180;0;7
3181;1;7
3182;0;7
3183;1;4
3184;0;7
3185;1;7
3186;0;6
3187;1;7
3188;0;7
3189;1;7
3190;1;8
3191;1;7
3192;0;8
3193;1;6
3194;1;8
3195;1;7
3196;0;8
3197;1;7
3198;1;7
3199;1;4
3200;0;7
3201;1;8
3202;2;7
3203;2;9
3204;2;8
3205;1;9
3206;1;7
3207;1;8
3208;1;7
3209;1;7
3210;0;8
3211;1;7
3212;0;7
3213;1;8
3214;0;8
3215;1;7
3216;0;7
3217;1;5
3218;0;7
3219;1;8
3220;1;8
3221;1;7
3222;0;7
3223;1;9
3224;0;4
3225;1;7
3226;1;8
3227;1;7
3228;1;7
3229;1;4
3230;0;7
3231;1;7
3232;0;6
3233;1;7
3234;1;8
3235;0;3
3236;2;7
3237;0;4
3238;1;7
3239;0;8
3240;1;7
3241;0;7
3242;1;9
3243;0;8
3244;1;4
3245;1;6
3246;4;14
3247;0;7
3248;1;7
3249;0;8
3250;1;7
3251;0;8
3252;1;7
3253;0;8
3254;1;8
3255;0;8
3256;1;7
3257;0;7
3258;1;8
3259;0;8
3260;1;8
3261;0;7
3262;3;7
3263;1;7
3264;1;9
3265;0;6
3266;1;7
3267;0;7
3268;1;7
3269;1;8
3270;1;7
3271;1;9
3272;1;8
3273;0;9
3274;0;6
3275;1;8
3276;0;4
3277;2;8
3278;1;7
3279;1;8
3280;0;4
3281;1;8
3282;1;8
3283;0;7
3284;0;7
3285;2;9
3286;1;9
3287;1;7
3288;0;9
3289;1;7
3290;1;7
3291;0;8
3292;1;8
3293;0;7
3294;2;9
3295;0;5
3296;1;8
3297;1;9
3298;1;9
3299;4;10
3300;2;9
3301;19;8
3302;3;10
3303;4;7
3304;3;7
3305;18;8
3306;3;12
3307;3;11
3308;3;6
3309;887;12
3310;17;7
3311;3;10
3312;2;10
3313;890;7
3314;3;7
3315;3;14
3316;3;10
3317;19;11
3318;19;8
3319;3;11
3320;18;9
3321;3;8
3322;18;14
3323;3;9
3324;3;14
3325;18;7
3326;870;21
3327;3;10
3328;3;10
3329;3;12
3330;910;13
3331;3;9
3332;19;10
3333;3;10
3334;17;13
3335;3;11
3336;3;7
3337;3;8
3338;4;8
3339;3;7
3340;3;10
3341;3;11
3342;3;8
3343;3;10
3344;17;9
3345;3;7
3346;18;12
3347;19;9
3348;18;9
3349;17;8
3350;3;10
3351;3;10
3352;18;9
3353;3;7
3354;3;8
3355;3;11
3356;3;9
3357;19;11
3358;3;12
3359;854;8
3360;3;8
3361;3;10
3362;3;8
3363;2;10
3364;3;8
3365;3;8
3366;18;9
3367;3;8
3368;3;8
3369;2;8
3370;3;10
3371;17;12
3372;1;9
3373;3;14
3374;18;12
3375;18;8
3376;3;8
3377;3;8
3378;16;14
3379;3;13
3380;20;20
3381;3;11
3382;3;13
3383;3;11
3384;3;10
3385;17;14
3386;17;12
3387;3;10
3388;3;14
3389;3;10
3390;17;16
3391;3;9
3392;17;8
3393;3;9
3394;3;10
3395;3;9
3396;1;9
3397;3;8
3398;3;12
3399;17;8
3400;3;13
3401;2;14
3402;3;8
3403;3;8
3404;18;13
3405;3;8
3406;3;8
3407;4;14
3408;3;12
3409;2;8
3410;3;11
3411;3;12
3412;3;11
3413;3;13
3414;905;9
3415;3;12
3416;3;8
3417;17;9
3418;3;8
3419;2;8
3420;18;14
3421;3;10
3422;18;9
3423;2;9
3424;2;8
3425;4;10
3426;2;8
3427;3;14
3428;3;9
3429;3;11
3430;3;13
3431;3;10
3432;19;9
3433;3;15
3434;3;11
3435;3;8
3436;18;8
3437;17;9
3438;3;11
3439;3;9
3440;17;16
3441;3;11
3442;18;8
3443;3;8
3444;18;11
3445;3;9
3446;3;10
3447;3;9
3448;3;8
3449;1;6
3450;3;11
3451;2;6
3452;1;10
3453;1;10
3454;2;9
3455;1;10
3456;1;12
3457;2;11
3458;3;12
3459;2;10
3460;1;10
3461;3;11
3462;1;10
3463;3;12
3464;1;10
3465;2;10
3466;1;8
3467;17;9
3468;1;10
3469;1;6
3470;2;10
3471;18;12
3472;1;7
3473;3;12
3474;4;10
3475;1;10
3476;2;10
3477;1;7
3478;3;13
3479;2;12
3480;3;11
3481;1;10
3482;1;11
3483;1;10
3484;1;7
3485;2;10
3486;1;6
3487;3;11
3488;2;11
3489;3;12
3490;3;12
3491;2;12
3492;3;14
3493;3;12
3494;2;10
3495;2;6
3496;1;7
3497;3;11
3498;1;10
3499;2;11
3500;1;11
3501;3;11
3502;1;6
3503;2;11
3504;1;11
3505;1;7
3506;2;17
3507;1;11
3508;2;11
3509;3;12
3510;2;13
3511;3;11
3512;2;7
3513;1;12
3514;3;12
3515;1;8
3516;2;12
3517;3;12
3518;2;11
3519;1;7
3520;2;12
3521;1;9
3522;1;11
3523;2;11
3524;3;12
3525;3;9
3526;1;11
3527;1;11
3528;2;11
3529;1;7
3530;1;11
3531;1;7
3532;1;10
3533;18;9
3534;2;13
3535;1;12
3536;2;7
3537;3;12
3538;1;10
3539;4;9
3540;2;7
3541;3;12
3542;1;11
3543;2;10
3544;1;12
3545;2;11
3546;1;11
3547;1;12
3548;2;13
3549;1;12
3550;3;12
3551;18;13
3552;2;7
3553;1;6
3554;3;9
3555;3;12
3556;2;10
3557;3;12
3558;1;11
3559;2;11
3560;2;9
3561;2;13
3562;1;6
3563;3;12
3564;0;11
3565;2;11
3566;1;12
3567;3;13
3568;1;7
3569;3;13
3570;2;11
3571;3;12
3572;3;13
3573;2;11
3574;2;14
3575;1;11
3576;2;7
3577;1;11
3578;3;12
3579;1;9
3580;2;14
3581;3;13
3582;3;12
3583;1;11
3584;2;11
3585;0;10
3586;2;14
3587;2;12
3588;17;9
3589;0;10
3590;2;11
3591;1;11
3592;3;12
3593;2;11
3594;2;12
3595;2;11
3596;3;14
3597;1;7
3598;3;13
3599;3;20
3600;1;9
3601;2;11
3602;3;11
3603;3;8
3604;1;16
3605;1;15
3606;3;9
3607;2;11
3608;1;11
3609;1;12
3610;3;15
3611;3;13
3612;0;11
3613;2;11
3614;1;9
3615;3;10
3616;3;18
3617;2;11
3618;3;13
3619;2;12
3620;2;18
3621;2;13
3622;2;10
3623;2;16
3624;1;12
3625;1;9
3626;2;12
3627;1;12
3628;1;11
3629;3;18
3630;1;17
3631;3;10
3632;1;13
3633;1;11
3634;1;11
3635;1;12
3636;1;17
3637;1;13
3638;3;10
3639;2;12
3640;2;12
3641;1;10
3642;1;12
3643;1;12
3644;2;14
3645;1;12
3646;1;15
3647;3;13
3648;1;12
3649;2;12
3650;2;13
3651;2;14
3652;1;11
3653;1;12
3654;1;13
3655;1;19
3656;1;14
3657;2;19
3658;1;12
3659;3;20
3660;2;16
3661;1;13
3662;2;9
3663;2;12
3664;2;12
3665;1;10
3666;16;19
3667;3;10
3668;3;13
3669;17;11
3670;2;18
3671;3;13
3672;1;15
3673;2;8
3674;1;11
3675;1;11
3676;3;14
3677;3;10
3678;1;10
3679;2;14
3680;1;12
3681;1;10
3682;3;19
3683;1;13
3684;1;15
3685;2;12
3686;2;15
3687;3;14
3688;2;10
3689;1;11
3690;3;16
3691;1;15
3692;2;19
3693;3;19
3694;1;13
3695;2;14
3696;1;12
3697;1;13
3698;2;11
3699;17;15
3700;1;10
3701;2;14
3702;2;10
3703;1;19
3704;1;12
3705;1;13
3706;1;12
3707;0;11
3708;3;17
3709;18;21
3710;1;14
3711;1;15
3712;2;11
3713;1;18
3714;1;12
3715;2;14
3716;2;14
3717;1;14
3718;2;11
3719;1;11
3720;3;11
3721;1;15
3722;1;13
3723;2;15
3724;2;15
3725;2;12
3726;1;14
3727;1;19
3728;18;23
3729;1;12
3730;3;11
3731;1;13
3732;2;12
3733;1;10
3734;1;15
3735;2;14
3736;2;11
3737;2;11
3738;3;16
3739;1;14
3740;1;20
3741;1;11
3742;2;12
3743;4;19
3744;17;24
3745;2;13
3746;3;15
3747;17;22
3748;2;22
3749;1;12
3750;1;13
3751;0;15
3752;1;11
3753;0;6
3754;2;13
3755;1;15
3756;0;10
3757;2;10
3758;1;12
3759;1;12
3760;1;13
3761;1;13
3762;1;13
3763;0;10
3764;1;14
3765;1;11
3766;0;7
3767;2;17
3768;0;11
3769;2;14
3770;0;12
3771;1;12
3772;0;13
3773;0;10
3774;1;7
3775;1;13
3776;1;12
3777;0;12
3778;1;13
3779;0;15
3780;1;12
3781;1;14
3782;1;7
3783;0;12
3784;1;12
3785;0;12
3786;3;11
3787;0;6
3788;2;14
3789;1;10
3790;3;15
3791;0;13
3792;1;13
3793;3;10
3794;1;14
3795;1;12
3796;0;13
3797;1;12
3798;1;13
3799;0;11
3800;1;12
3801;0;11
3802;2;11
3803;0;7
3804;3;12
3805;0;11
3806;0;6
3807;0;12
3808;1;12
3809;0;13
3810;1;11
3811;1;14
3812;3;14
3813;1;12
3814;1;15
3815;0;12
3816;0;6
3817;1;7
3818;0;11
3819;1;11
3820;1;11
3821;1;11
3822;0;7
3823;2;13
3824;1;14
3825;1;11
3826;0;14
3827;1;12
3828;0;6
3829;1;6
3830;0;12
3831;2;13
3832;1;14
3833;1;7
3834;1;12
3835;1;11
3836;1;12
3837;0;12
3838;1;11
3839;0;14
3840;1;12
3841;0;11
3842;1;12
3843;0;12
3844;2;14
3845;0;6
3846;1;12
3847;0;7
3848;1;7
3849;0;12
3850;1;7
3851;1;14
3852;0;3
3853;1;13
3854;0;7
3855;2;14
3856;0;7
3857;1;12
3858;0;13
3859;1;14
3860;1;8
3861;0;12
3862;1;13
3863;0;13
3864;1;13
3865;0;13
3866;0;15
3867;1;7
3868;0;11
3869;0;7
3870;1;13
3871;0;7
3872;1;7
3873;0;12
3874;1;8
3875;0;7
3876;1;13
3877;0;11
3878;1;14
3879;1;13
3880;2;19
3881;2;12
3882;0;12
3883;3;16
3884;1;7
3885;0;13
3886;1;14
3887;0;13
3888;1;13
3889;0;12
3890;0;15
3891;0;16
3892;1;7
3893;1;16
3894;0;13
3895;1;16
3896;1;14
3897;0;13
3898;2;17
3899;885;27
3900;3;18
3901;3;14
3902;3;16
3903;17;14
3904;2;12
3905;3;12
3906;3;12
3907;18;12
3908;17;13
3909;18;18
3910;3;16
3911;19;20
3912;3;16
3913;3;16
3914;3;13
3915;3;16
3916;2;17
3917;3;16
3918;4;13
3919;3;12
3920;17;13
3921;3;24
3922;1;13
3923;3;13
3924;2;11
3925;18;13
3926;888;25
3927;3;16
3928;4;12
3929;18;18
3930;18;12
3931;3;15
3932;3;17
3933;3;16
3934;1;14
3935;18;13
3936;874;13
3937;18;17
3938;3;12
3939;18;12
3940;3;12
3941;3;20
3942;17;18
3943;1;11
3944;18;26
3945;3;16
3946;3;12
3947;3;12
3948;17;19
3949;19;18
3950;3;20
3951;2;12
3952;3;12
3953;19;18
3954;3;17
3955;3;17
3956;0;13
3957;19;13
3958;3;13
3959;3;18
3960;18;21
3961;3;16
3962;3;13
3963;22;13
3964;18;13
3965;3;17
3966;19;24
3967;3;16
3968;4;17
3969;3;20
3970;18;13
3971;905;14
3972;3;12
3973;3;12
3974;17;12
3975;3;17
3976;18;19
3977;3;16
3978;2;13
3979;3;20
3980;868;13
3981;3;18
3982;3;17
3983;33538;14
3984;19;21
3985;3;12
3986;3;13
3987;3;17
3988;3;13
3989;18;20
3990;19;14
3991;29;13
3992;3;16
3993;3;17
3994;17;19
3995;896;38
3996;17;29
3997;3;13
3998;17;18
3999;2;18
4000;18;13
4001;3;17
4002;2;17
4003;18;13
4004;3;13
4005;3;13
4006;17;14
4007;2;14
4008;3;17
4009;3;13
4010;28;13
4011;891;21
4012;3;13
4013;28;19
4014;3;18
4015;3;15
4016;2;17
4017;2;17
4018;3;18
4019;3;17
4020;3;18
4021;3;14
4022;3;24
4023;3;18
4024;2;16
4025;4;18
4026;17;19
4027;33455;14
4028;3;13
4029;3;27
4030;2;17
4031;937;14
4032;3;13
4033;3;28
4034;960;13
4035;3;13
4036;871;13
4037;17;20
4038;17;18
4039;3;14
4040;3;13
4041;3;31
4042;19;14
4043;2;17
4044;3;19
4045;2;15
4046;2;17
4047;3;18
4048;3;14
4049;893;14
4050;1;13
4051;2;16
4052;2;24
4053;1;13
4054;3;18
4055;3;13
4056;1;16
4057;17;28
4058;1;13
4059;2;13
4060;1;16
4061;17;28
4062;3;13
4063;1;13
4064;3;14
4065;1;23
4066;1;24
4067;3;14
4068;1;17
4069;2;16
4070;2;14
4071;3;25
4072;2;14
4073;17;26
4074;4;18
4075;0;15
4076;2;13
4077;1;24
4078;3;18
4079;2;14
4080;2;13
4081;1;12
4082;3;15
4083;2;18
4084;3;30
4085;3;15
4086;1;16
4087;1;14
4088;2;16
4089;1;13
4090;1;23
4091;3;25
4092;1;13
4093;1;14
4094;3;21
4095;3;14
4096;2;26
4097;17;27
4098;16;30
4099;3;14
4100;1;13
4101;2;15
4102;2;26
4103;1;23
4104;4;26
4105;1;13
4106;2;19
4107;2;14
4108;3;14
4109;1;15
4110;2;16
4111;1;13
4112;1;12
4113;2;17
4114;1;14
4115;18;20
4116;1;14
4117;3;17
4118;1;20
4119;1;8
4120;1;13
4121;1;16
