Graph1;Graph2;Cout;Temps(ms)
AP1_0000;HP1_0059;3.0;2.0
AP1_0000;HP1_0060;3.0;3.0
AP1_0000;HP1_0061;1.0;5.0
AP1_0000;HP1_0062;3.0;3.0
AP1_0000;HP1_0063;3.0;3.0
AP1_0000;HP1_0064;3.0;3.0
AP1_0000;HP1_0065;1.0;6.0
AP1_0000;HP1_0066;3.0;3.0
AP1_0000;HP1_0067;3.0;3.0
AP1_0000;HP1_0068;5.0;13.0
AP1_0000;HP1_0069;3.0;3.0
AP1_0000;HP1_0070;5.0;13.0
AP1_0000;HP1_0071;1.0;5.0
AP1_0000;HP1_0072;3.0;3.0
AP1_0000;HP1_0073;3.0;2.0
AP1_0000;HP1_0074;3.0;3.0
AP1_0000;HP1_0075;4.0;10.0
AP1_0000;HP1_0076;2.0;7.0
AP1_0000;HP1_0077;3.0;5.0
AP1_0000;HP1_0078;3.0;3.0
AP1_0000;HP1_0079;3.0;2.0
AP1_0000;HP1_0080;1.0;5.0
AP1_0000;HP1_0081;4.0;8.0
AP1_0000;HP1_0082;5.0;13.0
AP1_0000;HP1_0083;3.0;3.0
AP1_0000;HP1_0084;3.0;7.0
AP1_0000;HP1_0085;4.0;10.0
AP1_0000;HP1_0086;1.0;5.0
AP1_0000;HP1_0087;3.0;6.0
AP1_0000;HP1_0088;3.0;3.0
AP1_0000;HP1_0089;5.0;15.0
AP1_0000;HP1_0090;3.0;3.0
AP1_0000;HP1_0091;4.0;7.0
AP1_0000;HP1_0092;6.0;15.0
AP1_0000;HP1_0093;3.0;3.0
AP1_0000;HP1_0094;6.0;9.0
AP1_0000;HP1_0095;2.0;5.0
AP1_0000;HP1_0096;3.0;3.0
AP1_0000;HP1_0097;2.0;5.0
AP1_0000;HP1_0098;3.0;3.0
AP1_0000;HP1_0099;3.0;3.0
AP1_0000;HP1_0100;2.0;7.0
AP1_0000;HP1_0101;3.0;3.0
AP1_0000;HP1_0102;1.0;6.0
AP1_0000;HP1_0103;3.0;3.0
AP1_0000;HP1_0104;3.0;3.0
AP1_0000;HP1_0105;3.0;4.0
AP1_0000;HP1_0106;2.0;7.0
AP1_0000;HP1_0107;6.0;15.0
AP1_0000;HP1_0108;2.0;6.0
AP1_0000;HP1_0109;3.0;3.0
AP1_0000;HP1_0110;3.0;3.0
AP1_0000;HP1_0111;3.0;3.0
AP1_0000;HP1_0112;3.0;3.0
AP1_0000;HP1_0113;3.0;3.0
